setmana,mes,name,casos,poblacio,positius_x,tendencia
14-20,desembre,Alt Camp,48,44296,108,augmenta
14-20,desembre,Alt Empordà,367,141339,260,augmenta
14-20,desembre,Alt Penedès,191,108411,176,augmenta
14-20,desembre,Alt Urgell,29,20177,144,disminueix
14-20,desembre,Alta Ribagorça,1,3802,26,igual
14-20,desembre,Anoia,323,120738,268,augmenta
14-20,desembre,Aran,14,10093,139,augmenta
14-20,desembre,Bages,336,178885,188,disminueix
14-20,desembre,Baix Camp,249,190973,130,augmenta
14-20,desembre,Baix Ebre,72,77596,93,augmenta
14-20,desembre,Baix Empordà,293,134359,218,augmenta
14-20,desembre,Baix Llobregat,1106,825963,134,augmenta
14-20,desembre,Baix Penedès,125,104991,119,augmenta
14-20,desembre,Barcelonès,3508,2278437,154,augmenta
14-20,desembre,Berguedà,81,39446,205,augmenta
14-20,desembre,Cerdanya,199,18192,1094,augmenta
14-20,desembre,Conca de Barberà,28,20042,140,augmenta
14-20,desembre,Garraf,133,150887,88,augmenta
14-20,desembre,Garrigues,10,18833,53,disminueix
14-20,desembre,Garrotxa,77,57590,134,augmenta
14-20,desembre,Gironès,452,193908,233,augmenta
14-20,desembre,Maresme,657,452690,145,augmenta
14-20,desembre,Moianès,12,13603,88,augmenta
14-20,desembre,Montsià,36,67436,53,augmenta
14-20,desembre,Noguera,39,38770,101,augmenta
14-20,desembre,Osona,386,160821,240,augmenta
14-20,desembre,Pallars Jussà,20,13080,153,disminueix
14-20,desembre,Pallars Sobirà,2,6932,29,disminueix
14-20,desembre,Pla d'Urgell,114,36693,311,augmenta
14-20,desembre,Pla de l'Estany,94,32293,291,disminueix
14-20,desembre,Priorat,30,9245,324,augmenta
14-20,desembre,Ribera d'Ebre,14,21865,64,disminueix
14-20,desembre,Ripollès,179,25087,714,augmenta
14-20,desembre,Segarra,33,23052,143,disminueix
14-20,desembre,Segrià,243,209818,116,disminueix
14-20,desembre,Selva,281,171617,164,augmenta
14-20,desembre,Solsonès,9,13469,67,disminueix
14-20,desembre,Tarragonès,329,256730,128,augmenta
14-20,desembre,Terra Alta,81,11490,705,augmenta
14-20,desembre,Urgell,49,36693,134,augmenta
14-20,desembre,Vallès Occidental,1343,925237,145,augmenta
14-20,desembre,Vallès Oriental,524,409638,128,augmenta
07-13,desembre,Alt Camp,36,44296,81,augmenta
07-13,desembre,Alt Empordà,202,141339,143,augmenta
07-13,desembre,Alt Penedès,140,108411,129,augmenta
07-13,desembre,Alt Urgell,31,20177,154,disminueix
07-13,desembre,Alta Ribagorça,1,3802,26,igual
07-13,desembre,Anoia,133,120738,110,augmenta
07-13,desembre,Aran,2,10093,20,augmenta
07-13,desembre,Bages,401,178885,224,disminueix
07-13,desembre,Baix Camp,196,190973,103,augmenta
07-13,desembre,Baix Ebre,33,77596,43,augmenta
07-13,desembre,Baix Empordà,235,134359,175,augmenta
07-13,desembre,Baix Llobregat,760,825963,92,augmenta
07-13,desembre,Baix Penedès,80,104991,76,augmenta
07-13,desembre,Barcelonès,2441,2278437,107,augmenta
07-13,desembre,Berguedà,73,39446,185,augmenta
07-13,desembre,Cerdanya,124,18192,682,augmenta
07-13,desembre,Conca de Barberà,10,20042,50,augmenta
07-13,desembre,Garraf,69,150887,46,augmenta
07-13,desembre,Garrigues,18,18833,96,disminueix
07-13,desembre,Garrotxa,41,57590,71,augmenta
07-13,desembre,Gironès,264,193908,136,augmenta
07-13,desembre,Maresme,502,452690,111,augmenta
07-13,desembre,Moianès,11,13603,81,augmenta
07-13,desembre,Montsià,18,67436,27,augmenta
07-13,desembre,Noguera,36,38770,93,augmenta
07-13,desembre,Osona,335,160821,208,augmenta
07-13,desembre,Pallars Jussà,30,13080,229,disminueix
07-13,desembre,Pallars Sobirà,4,6932,58,disminueix
07-13,desembre,Pla d'Urgell,87,36693,237,augmenta
07-13,desembre,Pla de l'Estany,107,32293,331,disminueix
07-13,desembre,Priorat,25,9245,270,augmenta
07-13,desembre,Ribera d'Ebre,18,21865,82,disminueix
07-13,desembre,Ripollès,151,25087,602,augmenta
07-13,desembre,Segarra,48,23052,208,disminueix
07-13,desembre,Segrià,252,209818,120,disminueix
07-13,desembre,Selva,220,171617,128,augmenta
07-13,desembre,Solsonès,34,13469,252,disminueix
07-13,desembre,Tarragonès,321,256730,125,augmenta
07-13,desembre,Terra Alta,26,11490,226,augmenta
07-13,desembre,Urgell,44,36693,120,augmenta
07-13,desembre,Vallès Occidental,949,925237,103,augmenta
07-13,desembre,Vallès Oriental,391,409638,95,augmenta
30-06,desembre,Alt Camp,21,44296,47,augmenta
30-06,desembre,Alt Empordà,266,141339,188,augmenta
30-06,desembre,Alt Penedès,190,108411,175,augmenta
30-06,desembre,Alt Urgell,36,20177,178,disminueix
30-06,desembre,Alta Ribagorça,1,3802,26,igual
30-06,desembre,Anoia,153,120738,127,augmenta
30-06,desembre,Bages,341,178885,191,disminueix
30-06,desembre,Baix Camp,182,190973,95,augmenta
30-06,desembre,Baix Ebre,47,77596,61,augmenta
30-06,desembre,Baix Empordà,262,134359,195,augmenta
30-06,desembre,Baix Llobregat,993,825963,120,augmenta
30-06,desembre,Baix Penedès,79,104991,75,augmenta
30-06,desembre,Barcelonès,2717,2278437,119,augmenta
30-06,desembre,Berguedà,58,39446,147,augmenta
30-06,desembre,Cerdanya,100,18192,550,augmenta
30-06,desembre,Conca de Barberà,19,20042,95,augmenta
30-06,desembre,Garraf,81,150887,54,augmenta
30-06,desembre,Garrigues,8,18833,42,disminueix
30-06,desembre,Garrotxa,73,57590,127,augmenta
30-06,desembre,Gironès,273,193908,141,augmenta
30-06,desembre,Maresme,418,452690,92,augmenta
30-06,desembre,Moianès,16,13603,118,augmenta
30-06,desembre,Montsià,33,67436,49,augmenta
30-06,desembre,Noguera,51,38770,132,augmenta
30-06,desembre,Osona,427,160821,266,augmenta
30-06,desembre,Pallars Jussà,61,13080,466,disminueix
30-06,desembre,Pla d'Urgell,72,36693,196,augmenta
30-06,desembre,Pla de l'Estany,100,32293,310,disminueix
30-06,desembre,Priorat,5,9245,54,augmenta
30-06,desembre,Ribera d'Ebre,20,21865,91,disminueix
30-06,desembre,Ripollès,152,25087,606,augmenta
30-06,desembre,Segarra,29,23052,126,disminueix
30-06,desembre,Segrià,264,209818,126,disminueix
30-06,desembre,Selva,225,171617,131,augmenta
